id,city,ward,town,latitude,longitude,created_at,updated_at
63,築上郡築上町,,,33.635776,131.027304,2026-04-21 15:59:32 +0900,2026-04-21 15:59:32 +0900
62,築上郡吉富町,,,33.602329,131.15415,2026-04-21 15:59:32 +0900,2026-04-21 15:59:32 +0900
61,京都郡みやこ町,,,33.678274,130.955862,2026-04-21 15:59:32 +0900,2026-04-21 15:59:32 +0900
60,京都郡苅田町,,,33.81387,131.008671,2026-04-21 15:59:32 +0900,2026-04-21 15:59:32 +0900
59,田川郡川崎町,,,33.582986,130.79954,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
58,田川郡添田町,,,33.506807,130.81874,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
57,八女郡広川町,,,33.238816,130.509543,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
56,三井郡大刀洗町,,,33.367464,130.580186,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
55,朝倉郡筑前町,,,33.475263,130.561219,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
54,嘉穂郡桂川町,,,33.591559,130.654612,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
53,鞍手郡鞍手町,,,33.80163,130.642317,2026-04-21 15:59:31 +0900,2026-04-21 15:59:31 +0900
52,鞍手郡小竹町,,,33.68779,130.676127,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
51,遠賀郡遠賀町,,,33.813383,130.645992,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
50,遠賀郡岡垣町,,,33.861034,130.6226,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
49,遠賀郡水巻町,,,33.839484,130.711262,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
48,遠賀郡芦屋町,,,33.888896,130.645787,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
47,糟屋郡粕屋町,,,33.61918,130.452846,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
46,糟屋郡久山町,,,33.674903,130.472492,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
45,糟屋郡新宮町,,,33.713485,130.42058,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
44,糟屋郡須恵町,,,33.603756,130.489363,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
43,糟屋郡志免町,,,33.584473,130.477869,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
42,糟屋郡篠栗町,,,33.627079,130.514093,2026-04-21 15:59:30 +0900,2026-04-21 15:59:30 +0900
41,糟屋郡宇美町,,,33.567546,130.487472,2026-04-21 15:59:29 +0900,2026-04-21 15:59:29 +0900
40,那珂川市,,,33.509959,130.406271,2026-04-21 15:59:29 +0900,2026-04-21 15:59:29 +0900
39,糸島市,,,33.524486,130.165153,2026-04-21 15:59:29 +0900,2026-04-21 15:59:29 +0900
38,みやま市,,,33.088957,130.418357,2026-04-21 15:59:29 +0900,2026-04-21 15:59:29 +0900
37,朝倉市,,,33.399413,130.61609,2026-04-21 15:59:28 +0900,2026-04-21 15:59:28 +0900
36,嘉麻市,,,33.603282,130.700331,2026-04-21 15:59:28 +0900,2026-04-21 15:59:28 +0900
35,宮若市,,,33.773024,130.605882,2026-04-21 15:59:28 +0900,2026-04-21 15:59:28 +0900
34,福津市,,,33.755838,130.490999,2026-04-21 15:59:28 +0900,2026-04-21 15:59:28 +0900
33,古賀市,,,33.739158,130.504722,2026-04-21 15:59:28 +0900,2026-04-21 15:59:28 +0900
